tableId,degree,epsilonLabel,beta,kappaPi,kappa,coarseType,rho,nu,hInv,h,nSubSide,nSubdomains,d,deltaSteps,delta,ndof,localDofEstimate,rawCoarseEstimate,estimateGB,paperIterations,paperRatio,gmresIterations,coarseDimension,rawCoarseDimension,coarseRatio,iterationDifference,ratioDifference,flag,finalRelres,resvecLength,localDofMin,localDofMax,localDofMean,coarseSetupS,preconditionerApplyS,totalS,status,notes
1,2,k,0.6,100,314.159265358979,spectral,0.000155541557763501,NaN,1364,0.000733137829912023,31,961,0.032258064516129,11,0.00806451612903226,7447441,17689,507408,4231.11786684694,2,4.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 4231.12 GB exceeds hard limit 300.00 GB.
1,2,k,0.5,100,314.159265358979,spectral,8.75248664708784e-05,NaN,1368,0.000730994152046784,18,324,0.0555555555555556,19,0.0138888888888889,7491169,52441,295488,1809.31442729046,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 1809.31 GB exceeds hard limit 300.00 GB.
1,2,0,1,40,125.663706143592,spectral,0.00795774715459477,NaN,504,0.00198412698412698,126,15876,0.00793650793650794,1,0.00198412698412698,1018081,169,762048,8683.34472023919,6,507.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 8683.34 GB exceeds hard limit 300.00 GB.
1,2,0,0.8,40,125.663706143592,spectral,0.00795774715459477,NaN,576,0.00173611111111111,48,2304,0.0208333333333333,3,0.00520833333333333,1329409,1369,331776,1687.68998699365,6,22.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 1687.69 GB exceeds hard limit 300.00 GB.
1,2,0,0.6,40,125.663706143592,spectral,0.00795774715459477,NaN,432,0.00231481481481481,18,324,0.0555555555555556,6,0.0138888888888889,748225,5329,93312,161.747713132577,10,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,queued_runtime_cap,Below memory gate but above runtime cap N=748225.
1,2,0,1,60,188.495559215388,spectral,0.00530516476972985,NaN,752,0.00132978723404255,188,35344,0.00531914893617021,1,0.00132978723404255,2265025,169,1696512,42954.5526840195,6,1965.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 42954.55 GB exceeds hard limit 300.00 GB.
1,2,0,0.8,60,188.495559215388,spectral,0.00530516476972985,NaN,792,0.00126262626262626,66,4356,0.0151515151515152,3,0.00378787878787879,2512225,1369,627264,5952.68603560063,6,32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 5952.69 GB exceeds hard limit 300.00 GB.
1,2,0,0.6,60,188.495559215388,spectral,0.00530516476972985,NaN,736,0.00135869565217391,23,529,0.0434782608695652,8,0.0108695652173913,2169729,9409,203136,716.883886705758,6,0.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 716.88 GB exceeds hard limit 300.00 GB.
1,2,0,1,80,251.327412287183,spectral,0.00397887357729738,NaN,1004,0.00099601593625498,251,63001,0.00398406374501992,1,0.00099601593625498,4036081,169,3024048,136388.055915807,4,5064.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 136388.06 GB exceeds hard limit 300.00 GB.
1,2,0,0.8,80,251.327412287183,spectral,0.00397887357729738,NaN,1328,0.000753012048192771,83,6889,0.0120481927710843,4,0.00301204819277108,7059649,2601,1377800,28574.2580941121,4,73.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,blocked_memory_gt_hard_limit,Estimate 28574.26 GB exceeds hard limit 300.00 GB.
