panel,k,alpha,mFixed,mCoarse,nFine,h,nDofs,epsProb,epsPrec,localBc,x0Type,seed,gmresIts,flag,relres,precRelres,elapsedSeconds,scaledNfine
table2_epsprec_k,60,0.4,NaN,5,465,0.0021505376344086,217156,0,60,impedance,random,20240528,34,0,6.83815197388029e-07,4.11003911361539e-07,11.6866732,0
table2_epsprec_k,60,0.5,NaN,8,464,0.0021551724137931,216225,0,60,impedance,random,20240528,51,0,8.80873213302521e-07,4.56333238675773e-07,16.5304774,0
table2_epsprec_k,80,0.2,NaN,2,716,0.00139664804469274,514089,0,80,impedance,random,20240528,18,0,7.90103214851378e-07,5.96657390100117e-07,19.37644,0
table2_epsprec_k,80,0.3,NaN,4,716,0.00139664804469274,514089,0,80,impedance,random,20240528,28,0,8.09774745991034e-07,5.30382334816875e-07,26.6198891,0
table2_epsprec_k,80,0.4,NaN,6,714,0.00140056022408964,511225,0,80,impedance,random,20240528,38,0,9.24721335380477e-07,5.36478853880109e-07,31.5722251,0
table2_epsprec_k,80,0.5,NaN,9,720,0.00138888888888889,519841,0,80,impedance,random,20240528,56,0,8.61110799432534e-07,4.29811890671972e-07,43.2052051,0
table2_epsprec_k,100,0.2,NaN,3,999,0.001001001001001,1000000,0,100,impedance,random,20240528,23,0,7.96491429821504e-07,5.57606960683627e-07,47.2475424,0
table2_epsprec_k,100,0.3,NaN,4,1000,0.001,1002001,0,100,impedance,random,20240528,28,0,8.78667022039349e-07,5.75197090822527e-07,52.3726014,0
table2_epsprec_k,100,0.4,NaN,6,1002,0.000998003992015968,1006009,0,100,impedance,random,20240528,39,0,8.30768798417518e-07,4.83134462507527e-07,70.0215782,0
table2_epsprec_k,100,0.5,NaN,10,1000,0.001,1002001,0,100,impedance,random,20240528,62,0,7.92345247917284e-07,3.72434481862147e-07,94.2223534,0
table2_epsprec_k,120,0.2,NaN,3,1314,0.00076103500761035,1729225,0,120,impedance,random,20240528,23,0,5.47363085460291e-07,3.82995669692506e-07,83.4349292,0
table2_epsprec_k,120,0.3,NaN,4,1316,0.000759878419452888,1734489,0,120,impedance,random,20240528,28,0,8.17264195302582e-07,5.34660363304776e-07,96.9069778,0
table2_epsprec_k,120,0.4,NaN,7,1316,0.000759878419452888,1734489,0,120,impedance,random,20240528,45,0,7.2241908899372e-07,4.00375995795599e-07,139.1077178,0
table2_epsprec_k,120,0.5,NaN,11,1320,0.000757575757575758,1745041,0,120,impedance,random,20240528,66,0,9.56611332810527e-07,4.36255504899215e-07,181.7992117,0
table2_epsprec_k,140,0.2,NaN,3,1656,0.000603864734299517,2745649,0,140,impedance,random,20240528,23,0,8.85805785715996e-07,6.20527309206274e-07,142.817546,0
table2_epsprec_k,140,0.3,NaN,4,1656,0.000603864734299517,2745649,0,140,impedance,random,20240528,28,0,7.42025860921557e-07,4.8682131642971e-07,162.41765,0
table2_epsprec_k,140,0.4,NaN,7,1659,0.000602772754671489,2755600,0,140,impedance,random,20240528,44,0,9.76451428776087e-07,5.44489516342157e-07,226.9422627,0
table2_epsprec_k,140,0.5,NaN,12,1656,0.000603864734299517,2745649,0,140,impedance,random,20240528,73,0,8.24695249022516e-07,3.68804866199629e-07,338.4356995,0
table2_epsprec_0,40,0.2,NaN,2,254,0.00393700787401575,65025,0,0,impedance,random,20240528,17,0,6.80525370152518e-07,5.1800303269376e-07,1.9521092,0
table2_epsprec_0,40,0.3,NaN,3,252,0.00396825396825397,64009,0,0,impedance,random,20240528,22,0,5.72417451108251e-07,4.00159753691393e-07,2.1898599,0
table2_epsprec_0,40,0.4,NaN,4,252,0.00396825396825397,64009,0,0,impedance,random,20240528,27,0,8.90712780458164e-07,5.62901156817429e-07,2.6316987,0
table2_epsprec_0,40,0.5,NaN,6,252,0.00396825396825397,64009,0,0,impedance,random,20240528,40,0,6.77665380634406e-07,3.78728569804267e-07,3.7359157,0
table2_epsprec_0,60,0.2,NaN,2,466,0.00214592274678112,218089,0,0,impedance,random,20240528,17,0,5.64916940452754e-07,4.34896344381545e-07,7.2546209,0
table2_epsprec_0,60,0.3,NaN,3,465,0.0021505376344086,217156,0,0,impedance,random,20240528,22,0,6.73817061849379e-07,4.77822681180507e-07,8.4958976,0
table2_epsprec_0,60,0.4,NaN,5,465,0.0021505376344086,217156,0,0,impedance,random,20240528,33,0,6.72132392771519e-07,4.10218441904477e-07,11.000039,0
table2_epsprec_0,60,0.5,NaN,8,464,0.0021551724137931,216225,0,0,impedance,random,20240528,50,0,9.11669346043919e-07,4.78365296662562e-07,15.8054967,0
table2_epsprec_0,80,0.2,NaN,2,716,0.00139664804469274,514089,0,0,impedance,random,20240528,17,0,4.65617961222038e-07,3.60525653831567e-07,18.1360359,0
table2_epsprec_0,80,0.3,NaN,4,716,0.00139664804469274,514089,0,0,impedance,random,20240528,27,0,7.25787494504789e-07,4.84086121813719e-07,25.5343735,0
table2_epsprec_0,80,0.4,NaN,6,714,0.00140056022408964,511225,0,0,impedance,random,20240528,37,0,9.15917422238199e-07,5.39088706441087e-07,30.2351898,0
table2_epsprec_0,80,0.5,NaN,9,720,0.00138888888888889,519841,0,0,impedance,random,20240528,55,0,8.7256459213434e-07,4.40145291765809e-07,42.0412607,0
table2_epsprec_0,100,0.2,NaN,3,999,0.001001001001001,1000000,0,0,impedance,random,20240528,22,0,6.67035064945433e-07,4.76947963863738e-07,44.9733413,0
table2_epsprec_0,100,0.3,NaN,4,1000,0.001,1002001,0,0,impedance,random,20240528,27,0,8.64266585548858e-07,5.7615326231979e-07,50.103176,0
table2_epsprec_0,100,0.4,NaN,6,1002,0.000998003992015968,1006009,0,0,impedance,random,20240528,38,0,8.61205664233622e-07,5.07920414654545e-07,67.693895,0
