k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
32,k,192,16,2,2,37249,289,0.08657389879226685,13,13,1,0,0,0,5.889503834511818e-07,5.88950383526647e-07,7.834424417645409e-16,1,1,7.643328140484258e-15,0.9999999999999978,0,0,2.013469278064728e-17,2.079132831486652e-17,14,14,2,ran,
32,zero,192,16,2,3,37249,289,0.1167533993721008,13,13,1,0,0,0,4.643049018515761e-07,4.643049020373912e-07,4.336743988339476e-15,1,1,6.890299727720404e-14,0.9999999999999976,0,0,2.177953319954423e-17,2.185872139180128e-17,14,14,2,ran,
32,k,192,16,2,3,37249,289,0.1167533993721008,13,13,1,0,0,0,4.44018356913083e-07,4.440183569751196e-07,3.004545569420647e-15,1,1,4.759455803581312e-14,0.9999999999999976,0,0,2.093297173685878e-17,2.104853817960314e-17,14,14,2,ran,
32,zero,192,16,2,4,37249,289,0.1568549275398254,12,12,1,0,0,0,6.101828983414085e-07,6.10182898491347e-07,3.870397753354837e-15,1,1,6.973097425575347e-14,0.9999999999999973,0,0,1.993960344787891e-17,2.036139700497386e-17,13,13,2,ran,
32,k,192,16,2,4,37249,289,0.1568549275398254,12,12,1,0,0,0,7.346485343667301e-07,7.346485343292355e-07,4.027767849116688e-15,1,1,4.749047516012649e-14,0.9999999999999972,0,0,2.050363641388527e-17,2.023722057772672e-17,13,13,2,ran,
32,zero,192,16,4,1,37249,289,0.06631642580032349,18,34,20,0,0,0,5.515257359476317e-07,9.372279511113666e-07,5.456835665439585e-07,10,4,2.343018867433839,0.7708408115133916,0.06912307475132538,0.0691230747513254,1.73069620082508e-17,1.734495577332921e-17,19,35,21,ran,
32,k,192,16,4,1,37249,289,0.06631642580032349,17,31,17,0,0,0,6.950505126718617e-07,6.035445619357892e-07,7.683722755787042e-07,4,1,1.816240341163863,0.9633698659442957,0.06877407670206047,0.06877407670206044,1.893955131092237e-17,1.84051768402676e-17,18,32,18,ran,
32,zero,192,16,4,2,37249,289,0.08657389879226685,12,27,20,0,0,0,7.408158760681739e-07,6.015465701855897e-07,8.62807055204582e-07,11,5,2.231783065333102,0.7289949951000705,0.03959059554959168,0.03959059554959167,2.326954700473118e-17,2.321605601646052e-17,13,28,21,ran,
32,k,192,16,4,2,37249,289,0.08657389879226685,12,24,17,0,0,0,7.169187754043153e-07,7.339549460677291e-07,5.151191633231065e-07,4,1,1.73470152956789,0.9569860795999431,0.0393742973516227,0.03937429735162273,2.118366281285246e-17,2.134958816450441e-17,13,25,18,ran,
32,zero,192,16,4,3,37249,289,0.1167533993721008,12,26,20,0,0,0,5.246774896284896e-07,7.221487630791032e-07,8.982969565344474e-07,9,4,2.219880270599518,0.7756085913070009,0.01942788312667047,0.01942788312667047,2.149817236270545e-17,2.169988936682805e-17,13,27,21,ran,
32,k,192,16,4,3,37249,289,0.1167533993721008,12,24,17,0,0,0,5.744052817501504e-07,5.752694278722909e-07,5.388563653946191e-07,4,1,1.721302004026104,0.9698700779532533,0.01931882903671481,0.0193188290367148,2.121373370423487e-17,2.158478284388348e-17,13,25,18,ran,
32,zero,192,16,4,4,37249,289,0.1568549275398254,12,26,20,0,0,0,4.227687238363992e-07,4.821204494530858e-07,9.445184973278857e-07,9,4,2.213176578247894,0.7744229149684713,0.009388064146582694,0.009388064146582701,2.108790670887877e-17,2.133774416549986e-17,13,27,21,ran,
32,k,192,16,4,4,37249,289,0.1568549275398254,12,23,17,0,0,0,5.036397535505144e-07,8.445163487927753e-07,5.534224878994284e-07,4,1,1.71321662330234,0.97160749474921,0.009333957341429238,0.009333957341429255,2.115927305506399e-17,2.118828159113563e-17,13,24,18,ran,
32,zero,192,16,8,1,37249,289,0.06631642580032349,19,77,55,0,0,0,7.944776591483529e-07,7.356763431975929e-07,7.738684310561937e-07,NaN,NaN,887094.4772119748,-1.11671891928485,0.06912307475132545,0.06912307475132544,1.810465218336688e-17,1.837856928333806e-17,20,78,56,ran,
32,k,192,16,8,1,37249,289,0.06631642580032349,18,62,46,0,0,0,8.391642572952275e-07,6.958747438333044e-07,8.32312014799208e-07,NaN,NaN,72953.41611883731,-0.8657800321089533,0.0687740767020605,0.06877407670206048,1.84968621320386e-17,1.795380183842993e-17,19,63,47,ran,
32,zero,192,16,8,2,37249,289,0.08657389879226685,11,80,80,0,1,1,9.809165592386151e-07,0.0008294092934421338,2.199666171182137e-05,NaN,NaN,2.394955214816192e+19,-49.53755965959385,0.03959059554959168,0.0395905955495917,2.192492250949799e-17,2.214343006000615e-17,12,81,81,ran,
32,k,192,16,8,2,37249,289,0.08657389879226685,11,60,54,0,0,0,9.501127989538989e-07,7.786665067412382e-07,6.997913242163945e-07,NaN,NaN,10157729.40802441,-1.763006737888343,0.03937429735162273,0.03937429735162274,2.134622542533801e-17,2.15778074390827e-17,12,61,55,ran,
32,zero,192,16,8,3,37249,289,0.1167533993721008,11,79,74,0,0,0,6.514204461717123e-07,9.633794366195916e-07,7.636348277869274e-07,NaN,NaN,352940206954.0641,-9.887840686183267,0.02747250125843747,0.02747250125843746,2.111615299363667e-17,2.142082742229184e-17,12,80,75,ran,
32,k,192,16,8,3,37249,289,0.1167533993721008,11,56,52,0,0,0,7.158508398789998e-07,8.150011213237393e-07,9.85687027946169e-07,NaN,NaN,22862433.73304866,-1.709502203587487,0.02731817197885372,0.02731817197885371,2.106977759045351e-17,2.153772769819241e-17,12,57,53,ran,
32,zero,192,16,8,4,37249,289,0.1568549275398254,11,78,74,0,0,0,4.698851313205429e-07,9.65930454919092e-07,8.924785748640668e-07,NaN,NaN,56927783256.39675,-7.875474574002844,0.01486314169550758,0.01486314169550758,2.181044958751146e-17,2.127746296369931e-17,12,79,75,ran,
32,k,192,16,8,4,37249,289,0.1568549275398254,11,56,52,0,0,0,5.671978657831069e-07,6.857218849265849e-07,9.880241360589548e-07,NaN,NaN,31404306.57402276,-1.636875909197777,0.01480664753209118,0.01480664753209119,2.139025411059181e-17,2.14258735664911e-17,12,57,53,ran,
