k,epsilonLabel,hInv,HInv,H0Inv,m,ndof,ncoarse,estimateGB,exactIter,threeIter,coarseIter,exactFlag,threeFlag,coarseFlag,exactRelres,threeRelres,coarseRelres,sContract,sFovPositive,maxNormEPower,maxAlpha,basisContainedTrial,basisContainedTest,basisKernelTrial,basisKernelTest,exactResvecLength,threeResvecLength,coarseResvecLength,status,notes
16,zero,64,8,2,4,4225,81,0.01633769273757935,11,11,1,0,0,0,9.193588838716897e-07,9.19358883838935e-07,1.590019684036722e-15,1,1,1.428196614377796e-14,0.9999999999999978,0,0,2.030173376683717e-17,2.050395588607742e-17,12,12,2,ran,
16,k,64,8,2,4,4225,81,0.01633769273757935,12,12,1,0,0,0,4.174350317523757e-07,4.174350317103954e-07,1.716648028640291e-15,1,1,9.823359757071403e-15,0.9999999999999983,0,0,2.021808580078109e-17,2.01720761280238e-17,13,13,2,ran,
16,zero,64,8,4,1,4225,81,0.007647335529327393,16,25,15,0,0,0,5.042184485786459e-07,7.75140860429279e-07,4.769183777484499e-07,4,2,1.626679945263779,0.9270640678420407,0.07003994690681177,0.07003994690681178,1.830397877601936e-17,1.830862203205602e-17,17,26,16,ran,
16,k,64,8,4,1,4225,81,0.007647335529327393,15,23,14,0,0,0,8.843769810282721e-07,9.306587518112477e-07,1.618310025280789e-07,2,1,1.226291775322347,0.99446876859172,0.06935157988024016,0.06935157988024016,1.752537416290672e-17,1.74652578359555e-17,16,24,15,ran,
16,zero,64,8,4,2,4225,81,0.0101965069770813,12,21,15,0,0,0,4.041872082930153e-07,7.413419070540808e-07,9.111836857015135e-07,4,1,1.549046010493381,0.9670208867190333,0.04019196973900599,0.040191969739006,2.169692587356604e-17,2.089512829880719e-17,13,22,16,ran,
16,k,64,8,4,2,4225,81,0.0101965069770813,12,19,14,0,0,0,4.283305011975436e-07,8.596165893594921e-07,2.356390274912272e-07,2,1,1.174341910638688,0.9971740696602623,0.03975750866329294,0.03975750866329293,2.216275365540673e-17,2.03379143554315e-17,13,20,15,ran,
16,zero,64,8,4,3,4225,81,0.01398164033889771,11,20,15,0,0,0,6.708601533009544e-07,6.907653812533748e-07,8.703940353037226e-07,4,1,1.538956865459627,0.9651471448125908,0.01979104605148284,0.01979104605148285,2.183350828984075e-17,2.056827843442719e-17,12,21,16,ran,
16,k,64,8,4,3,4225,81,0.01398164033889771,11,19,14,0,0,0,8.216595264528765e-07,6.52459017952816e-07,2.301367496295316e-07,2,1,1.167300758847071,0.9980897869717407,0.0195670082214507,0.01956700822145069,2.088604622077436e-17,2.093331382626724e-17,12,20,15,ran,
16,zero,64,8,4,4,4225,81,0.01633769273757935,11,20,15,0,0,0,6.057643387396169e-07,5.861021216418606e-07,8.912309294624014e-07,4,1,1.539461980612771,0.9642043817775163,0.01528480929611358,0.01528480929611357,2.105029452078094e-17,2.154047704789086e-17,12,21,16,ran,
16,k,64,8,4,4,4225,81,0.01633769273757935,11,19,14,0,0,0,7.431196557794728e-07,5.808824685637472e-07,2.340072272339391e-07,2,1,1.167844119656591,0.9981145001996662,0.01516676273325203,0.01516676273325203,2.115586898837508e-17,2.181247952098761e-17,12,20,15,ran,
16,zero,64,8,8,1,4225,81,0.007647335529327393,16,40,27,0,0,0,5.087512670698135e-07,6.558879587596697e-07,5.660370957797088e-07,NaN,NaN,28.93374111396027,-0.3508339154830695,0.07046521810279416,0.07046521810279416,1.892907454935346e-17,1.926439629282548e-17,17,41,28,ran,
16,k,64,8,8,1,4225,81,0.007647335529327393,15,35,23,0,0,0,8.386705729946123e-07,9.155495756518176e-07,9.04762530792638e-07,NaN,1,3.932095521338425,0.467087189652575,0.06976607630472224,0.06976607630472229,1.861830574239448e-17,1.902916242033881e-17,16,36,24,ran,
16,zero,64,8,8,2,4225,81,0.0101965069770813,12,42,28,0,0,0,6.813003759914274e-07,5.270889919057894e-07,8.737163813033575e-07,NaN,NaN,2692658.360935182,-2.698618371378973,0.06598972542145952,0.06598972542145955,2.234587926904339e-17,2.325697126268814e-17,13,43,29,ran,
